dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,dsatur,19,0.014661773995612748,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,tabu_search,18,0.5088853390043369,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,greedy_welsh_powell,20,0.00037494298885576427,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,dsatur,19,0.015804515991476364,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,tabu_search,19,0.29787840899371076,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,greedy_welsh_powell,20,0.0004379190067993477,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,dsatur,18,0.015035684991744347,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,tabu_search,18,0.3310734719998436,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,greedy_welsh_powell,20,0.00037331299972720444,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,dsatur,18,0.014594901003874838,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,tabu_search,18,0.25732446399342734,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,greedy_welsh_powell,28,0.0005010440072510391,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,dsatur,28,0.019105439001577906,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,tabu_search,27,1.0035180160048185,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,greedy_welsh_powell,29,0.0005807260022265837,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,dsatur,28,0.01947141799610108,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,tabu_search,26,1.4677564329904271,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,greedy_welsh_powell,29,0.0004845100047532469,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,dsatur,25,0.019488193007418886,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,tabu_search,25,0.5534352980030235,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,greedy_welsh_powell,29,0.0004849949909839779,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,dsatur,26,0.01967585799866356,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,tabu_search,26,0.535189406000427,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,greedy_welsh_powell,28,0.0004853849968640134,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,dsatur,27,0.019274375998065807,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,tabu_search,26,0.9321399939944968,0,True
random_er,ER_n200_p0.1_r0,200,1936,200,0.1,0,greedy_welsh_powell,10,0.0004229339974699542,0,True
random_er,ER_n200_p0.1_r0,200,1936,200,0.1,0,dsatur,8,0.030533398006809875,0,True
random_er,ER_n200_p0.1_r0,200,1936,200,0.1,0,tabu_search,8,0.21488985599717125,0,True
random_er,ER_n200_p0.1_r1,200,1981,200,0.1,1,greedy_welsh_powell,9,0.0004094769974472001,0,True
random_er,ER_n200_p0.1_r1,200,1981,200,0.1,1,dsatur,8,0.03151386599347461,0,True
random_er,ER_n200_p0.1_r1,200,1981,200,0.1,1,tabu_search,8,0.23692049700184725,0,True
random_er,ER_n200_p0.1_r2,200,1949,200,0.1,2,greedy_welsh_powell,10,0.0003855700051644817,0,True
random_er,ER_n200_p0.1_r2,200,1949,200,0.1,2,dsatur,9,0.03011705700191669,0,True
random_er,ER_n200_p0.1_r2,200,1949,200,0.1,2,tabu_search,9,0.20968826099124271,0,True
random_er,ER_n200_p0.1_r3,200,1982,200,0.1,3,greedy_welsh_powell,10,0.00046282900439109653,0,True
random_er,ER_n200_p0.1_r3,200,1982,200,0.1,3,dsatur,9,0.03128279400698375,0,True
random_er,ER_n200_p0.1_r3,200,1982,200,0.1,3,tabu_search,9,0.22939644500729628,0,True
random_er,ER_n200_p0.1_r4,200,2003,200,0.1,4,greedy_welsh_powell,10,0.00044728300417773426,0,True
random_er,ER_n200_p0.1_r4,200,2003,200,0.1,4,dsatur,9,0.030560455998056568,0,True
random_er,ER_n200_p0.1_r4,200,2003,200,0.1,4,tabu_search,9,0.22165493200009223,0,True
random_er,ER_n200_p0.3_r0,200,5875,200,0.3,0,greedy_welsh_powell,21,0.0008563869923818856,0,True
random_er,ER_n200_p0.3_r0,200,5875,200,0.3,0,dsatur,19,0.06927432100928854,0,True
random_er,ER_n200_p0.3_r0,200,5875,200,0.3,0,tabu_search,19,1.1307602699962445,0,True
random_er,ER_n200_p0.3_r1,200,5944,200,0.3,1,greedy_welsh_powell,22,0.0008594589889980853,0,True
random_er,ER_n200_p0.3_r1,200,5944,200,0.3,1,dsatur,19,0.06953020900255069,0,True
random_er,ER_n200_p0.3_r1,200,5944,200,0.3,1,tabu_search,19,1.0159214930026792,0,True
random_er,ER_n200_p0.3_r2,200,6007,200,0.3,2,greedy_welsh_powell,22,0.0009030799992615357,0,True
random_er,ER_n200_p0.3_r2,200,6007,200,0.3,2,dsatur,20,0.0722218650043942,0,True
random_er,ER_n200_p0.3_r2,200,6007,200,0.3,2,tabu_search,20,1.1092024459940149,0,True
random_er,ER_n200_p0.3_r3,200,5962,200,0.3,3,greedy_welsh_powell,22,0.0008174530084943399,0,True
random_er,ER_n200_p0.3_r3,200,5962,200,0.3,3,dsatur,19,0.06916065698897,0,True
random_er,ER_n200_p0.3_r3,200,5962,200,0.3,3,tabu_search,19,1.0879182770004263,0,True
random_er,ER_n200_p0.3_r4,200,6019,200,0.3,4,greedy_welsh_powell,21,0.0008426080021308735,0,True
random_er,ER_n200_p0.3_r4,200,6019,200,0.3,4,dsatur,19,0.06997245899401605,0,True
random_er,ER_n200_p0.3_r4,200,6019,200,0.3,4,tabu_search,19,1.1049999259994365,0,True
random_er,ER_n200_p0.5_r0,200,9786,200,0.5,0,greedy_welsh_powell,32,0.0015952599933370948,0,True
random_er,ER_n200_p0.5_r0,200,9786,200,0.5,0,dsatur,30,0.1262759960081894,0,True
random_er,ER_n200_p0.5_r0,200,9786,200,0.5,0,tabu_search,30,2.67615375299647,0,True
random_er,ER_n200_p0.5_r1,200,9961,200,0.5,1,greedy_welsh_powell,32,0.0012774439965141937,0,True
random_er,ER_n200_p0.5_r1,200,9961,200,0.5,1,dsatur,31,0.10877351601084229,0,True
random_er,ER_n200_p0.5_r1,200,9961,200,0.5,1,tabu_search,31,2.8162218689976726,0,True
random_er,ER_n200_p0.5_r2,200,9957,200,0.5,2,greedy_welsh_powell,34,0.0012808610044885427,0,True
random_er,ER_n200_p0.5_r2,200,9957,200,0.5,2,dsatur,30,0.11063145300431643,0,True
random_er,ER_n200_p0.5_r2,200,9957,200,0.5,2,tabu_search,30,2.6294354489946272,0,True
random_er,ER_n200_p0.5_r3,200,10014,200,0.5,3,greedy_welsh_powell,34,0.0012790430046152323,0,True
random_er,ER_n200_p0.5_r3,200,10014,200,0.5,3,dsatur,33,0.1137361110013444,0,True
random_er,ER_n200_p0.5_r3,200,10014,200,0.5,3,tabu_search,33,2.6944062520051375,0,True
random_er,ER_n200_p0.5_r4,200,9996,200,0.5,4,greedy_welsh_powell,35,0.0014334230072563514,0,True
random_er,ER_n200_p0.5_r4,200,9996,200,0.5,4,dsatur,31,0.11246066300373059,0,True
random_er,ER_n200_p0.5_r4,200,9996,200,0.5,4,tabu_search,31,2.7566477650107117,0,True
random_er,ER_n200_p0.7_r0,200,14001,200,0.7,0,greedy_welsh_powell,50,0.0017382759979227558,0,True
random_er,ER_n200_p0.7_r0,200,14001,200,0.7,0,dsatur,47,0.15010866300144698,0,True
random_er,ER_n200_p0.7_r0,200,14001,200,0.7,0,tabu_search,47,5.146413308000774,0,True
random_er,ER_n200_p0.7_r1,200,13968,200,0.7,1,greedy_welsh_powell,51,0.0017099380056606606,0,True
random_er,ER_n200_p0.7_r1,200,13968,200,0.7,1,dsatur,47,0.14785627300443593,0,True
random_er,ER_n200_p0.7_r1,200,13968,200,0.7,1,tabu_search,47,5.436615175989573,0,True
random_er,ER_n200_p0.7_r2,200,13975,200,0.7,2,greedy_welsh_powell,51,0.0018685359973460436,0,True
random_er,ER_n200_p0.7_r2,200,13975,200,0.7,2,dsatur,46,0.1540115829993738,0,True
random_er,ER_n200_p0.7_r2,200,13975,200,0.7,2,tabu_search,46,5.107333363004727,0,True
random_er,ER_n200_p0.7_r3,200,13971,200,0.7,3,greedy_welsh_powell,48,0.0016731399955460802,0,True
random_er,ER_n200_p0.7_r3,200,13971,200,0.7,3,dsatur,46,0.15931765599816572,0,True
random_er,ER_n200_p0.7_r3,200,13971,200,0.7,3,tabu_search,46,5.913061505998485,0,True
random_er,ER_n200_p0.7_r4,200,13866,200,0.7,4,greedy_welsh_powell,49,0.001687165000475943,0,True
random_er,ER_n200_p0.7_r4,200,13866,200,0.7,4,dsatur,47,0.151899279007921,0,True
random_er,ER_n200_p0.7_r4,200,13866,200,0.7,4,tabu_search,47,5.423186545987846,0,True
dimacs,huck,74,301,,,,greedy_welsh_powell,11,0.00010753799870144576,0,True
dimacs,huck,74,301,,,,dsatur,11,0.00216810499841813,0,True
dimacs,huck,74,301,,,,tabu_search,11,0.018281611992279068,0,True
dimacs,myciel3,11,20,,,,greedy_welsh_powell,4,2.6907000574283302e-05,0,True
dimacs,myciel3,11,20,,,,dsatur,4,6.353399658109993e-05,0,True
dimacs,myciel3,11,20,,,,tabu_search,4,0.0012962089967913926,0,True
dimacs,myciel4,23,71,,,,greedy_welsh_powell,5,3.484899934846908e-05,0,True
dimacs,myciel4,23,71,,,,dsatur,5,0.00024927798949647695,0,True
dimacs,myciel4,23,71,,,,tabu_search,5,0.003220370999770239,0,True
dimacs,myciel5,47,236,,,,greedy_welsh_powell,6,8.676500874571502e-05,0,True
dimacs,myciel5,47,236,,,,dsatur,6,0.001351291997707449,0,True
dimacs,myciel5,47,236,,,,tabu_search,6,0.010326200994313695,0,True
dimacs,queen5_5,25,160,,,,greedy_welsh_powell,7,5.8371006161905825e-05,0,True
dimacs,queen5_5,25,160,,,,dsatur,5,0.000389833003282547,0,True
dimacs,queen5_5,25,160,,,,tabu_search,5,0.013620614990941249,0,True
