dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,dsatur,11,0.00858375099778641,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,tabu_search,11,0.12098576298740227,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,greedy_welsh_powell,13,0.00021832399943377823,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,dsatur,12,0.008634723999421112,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,tabu_search,12,0.10743401999934576,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,greedy_welsh_powell,20,0.00029514299239963293,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,dsatur,19,0.013370163011131808,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,tabu_search,18,0.5433047170081409,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,greedy_welsh_powell,20,0.00035834898881148547,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,dsatur,19,0.015055014999234118,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,tabu_search,18,0.5096075679903151,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,greedy_welsh_powell,20,0.0006296399951679632,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,dsatur,19,0.01570970000466332,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,tabu_search,19,0.3005374770000344,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,greedy_welsh_powell,20,0.0003801139973802492,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,dsatur,18,0.015162119991146028,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,tabu_search,18,0.3318469450023258,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,greedy_welsh_powell,20,0.0003857789997709915,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,dsatur,18,0.016070979996584356,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,tabu_search,18,0.2655925080034649,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,greedy_welsh_powell,28,0.0004952000017510727,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,dsatur,28,0.020025510995765217,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,tabu_search,27,1.0026861170044867,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,greedy_welsh_powell,29,0.0004791360115632415,0,True
