dataset_type,family,instance,repeat,seed,nodes,edges,parameters,density,avg_degree,max_degree,degeneracy,clustering,algorithm,colors,time_seconds,conflicts,valid
synthetic,erdos_renyi,ER_n120_p0.1_r1,1,1200101,120,757,n=120;p=0.1,0.10602240896358543,12.616666666666667,23,9,0.11445688517148336,dsatur,6,0.009093002998270094,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r1,1,1200101,120,757,n=120;p=0.1,0.10602240896358543,12.616666666666667,23,9,0.11445688517148336,tabu_search,6,0.06319645600160584,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r1,1,1200101,120,757,n=120;p=0.1,0.10602240896358543,12.616666666666667,23,9,0.11445688517148336,structure_aware_hybrid,6,0.0085215290018823,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r2,2,1200102,120,735,n=120;p=0.1,0.10294117647058823,12.25,24,8,0.10635620096365149,greedy_welsh_powell,7,0.0002157520066248253,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r2,2,1200102,120,735,n=120;p=0.1,0.10294117647058823,12.25,24,8,0.10635620096365149,dsatur,6,0.008563972005504183,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r2,2,1200102,120,735,n=120;p=0.1,0.10294117647058823,12.25,24,8,0.10635620096365149,tabu_search,6,0.06663386199215893,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r2,2,1200102,120,735,n=120;p=0.1,0.10294117647058823,12.25,24,8,0.10635620096365149,structure_aware_hybrid,6,0.008374450000701472,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r3,3,1200103,120,697,n=120;p=0.1,0.09761904761904762,11.616666666666667,18,8,0.09874163010192422,greedy_welsh_powell,7,0.00017116298840846866,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r3,3,1200103,120,697,n=120;p=0.1,0.09761904761904762,11.616666666666667,18,8,0.09874163010192422,dsatur,6,0.007912692002719268,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r3,3,1200103,120,697,n=120;p=0.1,0.09761904761904762,11.616666666666667,18,8,0.09874163010192422,tabu_search,6,0.05645053800253663,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r3,3,1200103,120,697,n=120;p=0.1,0.09761904761904762,11.616666666666667,18,8,0.09874163010192422,structure_aware_hybrid,6,0.007655562003492378,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r0,0,1200200,120,1451,n=120;p=0.2,0.20322128851540616,24.183333333333334,39,17,0.20363807680182258,greedy_welsh_powell,11,0.000266617993474938,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r0,0,1200200,120,1451,n=120;p=0.2,0.20322128851540616,24.183333333333334,39,17,0.20363807680182258,dsatur,10,0.01281839600414969,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r0,0,1200200,120,1451,n=120;p=0.2,0.20322128851540616,24.183333333333334,39,17,0.20363807680182258,tabu_search,10,0.13466985200648196,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r0,0,1200200,120,1451,n=120;p=0.2,0.20322128851540616,24.183333333333334,39,17,0.20363807680182258,structure_aware_hybrid,10,0.13453206200210843,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r1,1,1200201,120,1420,n=120;p=0.2,0.19887955182072828,23.666666666666668,36,17,0.19672004711268898,greedy_welsh_powell,11,0.00026104900462087244,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r1,1,1200201,120,1420,n=120;p=0.2,0.19887955182072828,23.666666666666668,36,17,0.19672004711268898,dsatur,9,0.012815034002414905,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r1,1,1200201,120,1420,n=120;p=0.2,0.19887955182072828,23.666666666666668,36,17,0.19672004711268898,tabu_search,9,0.13345705599931534,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r1,1,1200201,120,1420,n=120;p=0.2,0.19887955182072828,23.666666666666668,36,17,0.19672004711268898,structure_aware_hybrid,9,0.13121866300934926,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r2,2,1200202,120,1407,n=120;p=0.2,0.19705882352941176,23.45,33,17,0.20218741336421106,greedy_welsh_powell,11,0.00025589899451006204,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r2,2,1200202,120,1407,n=120;p=0.2,0.19705882352941176,23.45,33,17,0.20218741336421106,dsatur,10,0.012790207998477854,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r2,2,1200202,120,1407,n=120;p=0.2,0.19705882352941176,23.45,33,17,0.20218741336421106,tabu_search,10,0.12956467799085658,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r2,2,1200202,120,1407,n=120;p=0.2,0.19705882352941176,23.45,33,17,0.20218741336421106,structure_aware_hybrid,10,0.13030375700327568,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r3,3,1200203,120,1442,n=120;p=0.2,0.2019607843137255,24.033333333333335,37,17,0.20487661026989085,greedy_welsh_powell,11,0.0002995289978571236,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r3,3,1200203,120,1442,n=120;p=0.2,0.2019607843137255,24.033333333333335,37,17,0.20487661026989085,dsatur,10,0.012503851990913972,0,True
